S1,Rate,S2
0.16303957193626917,0.5952328886945112,1.5
0.1647363401008309,0.597479614529281,1.5
0.16635017090770945,0.5995893223819302,1.5
0.1678870002039035,0.6015741755504633,1.5
0.16935221059492303,0.6034449390361912,1.5
0.17075069443215768,0.6052111748659581,1.5
0.17208690838638224,0.6068814055636896,1.5
0.17336492089009198,0.6084632516703786,1.5
0.17458845351263574,0.6099635479951397,1.5
0.17576091715448564,0.6113884423386073,1.5
0.1768854438020201,0.6127434796962694,1.5
0.17796491446538887,0.6140336743736405,1.5
0.17900198382420224,0.6152635719905586,1.5
0.17999910202493338,0.6164373029906973,1.5
0.18095853400681275,0.6175586289837643,1.5
0.18188237667709028,0.6186309830159546,1.5
0.18277257420979612,0.6196575046769319,1.5
0.18363093170291067,0.6206410707995773,1.5
